SalePrice,YearBuilt,YearBuilt2,YrSold,Yrsold2,MonthSold,Size(sqf),Size2(sqf),Floor,Floor2,HallwayType,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_APT2,N_manager,N_elevators,N_manager2,N_elevators2,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(PublicOffice)2,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Elementary)2,N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),N_SchoolNearBy(Total)2
60619,1992,3968064,2007,4028049,10,576,331776,2,4,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
138053,1993,3972049,2007,4028049,10,914,835396,9,81,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
39823,1992,3968064,2007,4028049,10,355,126025,5,25,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
36283,1992,3968064,2007,4028049,10,355,126025,1,1,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
92920,1993,3972049,2007,4028049,10,644,414736,18,324,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
176991,1993,3972049,2007,4028049,10,1451,2105401,17,289,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
134513,1993,3972049,2007,4028049,10,914,835396,16,256,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
77876,1992,3968064,2007,4028049,10,644,414736,7,49,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,9,4,8,16,64,5,25,1,1,1,1,0,3,9,3,4,4,3,9,14,196
85840,1993,3972049,2007,4028049,10,644,414736,17,289,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
141592,1992,3968064,2007,4028049,10,1448,2096704,11,121,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,9,4,8,16,64,5,25,1,1,1,1,0,3,9,3,4,4,3,9,14,196
98230,1993,3972049,2007,4028049,10,644,414736,12,144,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
35398,1992,3968064,2007,4028049,10,355,126025,8,64,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
159292,1993,3972049,2007,4028049,10,1288,1658944,15,225,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
95575,1993,3972049,2007,4028049,10,644,414736,14,196,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
147787,2005,4020025,2007,4028049,10,743,552049,8,64,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,64,6,0,36,0,5,25,2,0,1,5,0,3,9,4,4,4,7,13,15,225
340707,2007,4028049,2007,4028049,10,1387,1923769,42,1764,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
197345,2007,4028049,2007,4028049,10,868,753424,7,49,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
181415,2007,4028049,2007,4028049,10,868,753424,7,49,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
346017,2007,4028049,2007,4028049,10,1387,1923769,28,784,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
55752,1985,3940225,2007,4028049,11,587,344569,9,81,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,1,2,2,4,4,5,25,1,2,1,2,1,2,4,1,1,0,3,12,4,16
347787,2007,4028049,2007,4028049,11,1334,1779556,10,100,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
347787,2007,4028049,2007,4028049,11,1334,1779556,17,289,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
383185,2007,4028049,2007,4028049,11,1444,2085136,16,256,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
462831,2007,4028049,2007,4028049,11,1690,2856100,22,484,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
407079,2007,4028049,2007,4028049,11,1629,2653641,4,16,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
360176,2007,4028049,2007,4028049,11,1483,2199289,4,16,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
315929,2007,4028049,2007,4028049,11,1334,1779556,3,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
289380,2007,4028049,2007,4028049,11,1273,1620529,3,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
348672,2007,4028049,2007,4028049,11,1483,2199289,3,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
465486,2007,4028049,2007,4028049,11,1690,2856100,25,625,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
393805,2007,4028049,2007,4028049,11,1629,2653641,3,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
408849,2007,4028049,2007,4028049,11,1690,2856100,3,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
348672,2007,4028049,2007,4028049,11,1483,2199289,3,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
371681,2007,4028049,2007,4028049,11,1483,2199289,9,81,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
326548,2007,4028049,2007,4028049,11,1334,1779556,4,16,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
348672,2007,4028049,2007,4028049,11,1483,2199289,4,16,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
371681,2007,4028049,2007,4028049,11,1483,2199289,6,36,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
348672,2007,4028049,2007,4028049,11,1483,2199289,5,25,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
371681,2007,4028049,2007,4028049,11,1483,2199289,8,64,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
337168,2007,4028049,2007,4028049,11,1483,2199289,3,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
360176,2007,4028049,2007,4028049,11,1483,2199289,4,16,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
360176,2007,4028049,2007,4028049,11,1483,2199289,6,36,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
95132,1986,3944196,2007,4028049,11,910,828100,15,225,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,1,2,1,4,5,25,1,2,1,1,1,6,36,2,3,2,3,11,13,169
110619,1993,3972049,2007,4028049,11,914,835396,1,1,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
163716,2005,4020025,2007,4028049,11,914,835396,8,64,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,64,6,0,36,0,5,25,2,0,1,5,0,3,9,4,4,4,7,13,15,225
232212,2007,4028049,2007,4028049,11,1103,1216609,24,576,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,9,5,10,25,100,2,4,2,2,2,0,1,2,4,2,2,2,4,9,8,64
86725,1993,3972049,2007,4028049,11,644,414736,15,225,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
172566,1993,3972049,2007,4028049,11,1761,3101121,4,16,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
194690,1993,3972049,2007,4028049,11,2337,5461569,18,324,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
36283,1992,3968064,2007,4028049,11,355,126025,4,16,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
60176,1992,3968064,2007,4028049,11,576,331776,14,196,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
88495,1993,3972049,2007,4028049,11,644,414736,19,361,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
61946,1992,3968064,2007,4028049,11,576,331776,8,64,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
81858,1992,3968064,2007,4028049,11,644,414736,16,256,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,9,4,8,16,64,5,25,1,1,1,1,0,3,9,3,4,4,3,9,14,196
60176,1992,3968064,2007,4028049,11,576,331776,11,121,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
191150,2007,4028049,2007,4028049,11,868,753424,8,64,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
408849,2007,4028049,2007,4028049,11,1643,2699449,4,16,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
162831,1986,3944196,2007,4028049,11,1131,1279161,5,25,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,49,8,27,64,729,5,25,1,1,0,1,1,3,9,1,1,1,4,9,6,36
203539,2007,4028049,2007,4028049,11,868,753424,21,441,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
94690,1986,3944196,2007,4028049,12,910,828100,16,256,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,1,2,1,4,5,25,1,2,1,1,1,6,36,2,3,2,3,11,13,169
242920,2006,4024036,2007,4028049,12,1437,2064969,4,16,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,36,5,11,25,121,1,1,1,0,1,0,0,2,4,2,1,2,5,3,7,49
307964,2006,4024036,2007,4028049,12,1743,3038049,15,225,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,36,5,11,25,121,1,1,1,0,1,0,0,2,4,2,1,2,5,3,7,49
287486,2007,4028049,2007,4028049,12,1366,1865956,19,361,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,9,5,10,25,100,2,4,2,2,2,0,1,2,4,2,2,2,4,9,8,64
285840,2007,4028049,2007,4028049,12,1366,1865956,20,400,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,9,5,10,25,100,2,4,2,2,2,0,1,2,4,2,2,2,4,9,8,64
132743,1993,3972049,2007,4028049,12,914,835396,16,256,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
176991,2007,4028049,2007,4028049,12,914,835396,30,900,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,9,5,10,25,100,2,4,2,2,2,0,1,2,4,2,2,2,4,9,8,64
323982,2007,4028049,2007,4028049,12,1448,2096704,30,900,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,9,5,10,25,100,2,4,2,2,2,0,1,2,4,2,2,2,4,9,8,64
92035,1993,3972049,2007,4028049,12,644,414736,15,225,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
115044,1993,3972049,2007,4028049,12,914,835396,9,81,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
137168,1993,3972049,2007,4028049,12,914,835396,21,441,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
265486,2007,4028049,2007,4028049,12,1394,1943236,24,576,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,9,5,10,25,100,2,4,2,2,2,0,1,2,4,2,2,2,4,9,8,64
97345,1993,3972049,2007,4028049,12,644,414736,17,289,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
199469,2007,4028049,2007,4028049,12,1103,1216609,17,289,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,9,5,10,25,100,2,4,2,2,2,0,1,2,4,2,2,2,4,9,8,64
290000,2007,4028049,2007,4028049,12,1366,1865956,18,324,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,9,5,10,25,100,2,4,2,2,2,0,1,2,4,2,2,2,4,9,8,64
82300,1993,3972049,2007,4028049,12,644,414736,8,64,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
134513,1993,3972049,2007,4028049,12,914,835396,11,121,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
201769,2007,4028049,2007,4028049,12,868,753424,24,576,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
185840,1986,3944196,2007,4028049,12,1131,1279161,5,25,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,49,8,27,64,729,5,25,1,1,0,1,1,3,9,1,1,1,4,9,6,36
174336,1986,3944196,2007,4028049,12,1131,1279161,11,121,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,49,8,27,64,729,5,25,1,1,0,1,1,3,9,1,1,1,4,9,6,36
319469,2007,4028049,2007,4028049,12,1387,1923769,30,900,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
170796,1986,3944196,2007,4028049,12,1377,1896129,2,4,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,49,8,27,64,729,5,25,1,1,0,1,1,3,9,1,1,1,4,9,6,36
112389,1997,3988009,2008,4032064,1,914,835396,11,121,mixed,individual_heating,management_in_trust,82,56,5min~10min,15min~20min,1,1,2,4,4,16,7,49,1,2,1,1,1,4,16,0,0,3,5,13,7,49
72566,1985,3940225,2008,4032064,1,676,456976,6,36,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,1,2,2,4,4,5,25,1,2,1,2,1,2,4,1,1,0,3,12,4,16
448672,2007,4028049,2008,4032064,1,1690,2856100,18,324,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
462831,2007,4028049,2008,4032064,1,1690,2856100,20,400,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,4,5,5,25,25,4,16,1,2,1,0,1,2,4,1,1,1,5,9,5,25
